date,text,source,url,compound,positive,neutral,negative,normalized
2021-03-09,"Jack Dorsey, the CEO of Twitter, is auctioning off the first tweet ever as an NFT and donating the proceeds to Give Directly's Africa Response.
Dorsey tweeted the link to the NFT on March 5. As of M… [+1217 chars]",Business Insider,https://www.businessinsider.com/twitter-jack-dorsey-nft-first-tweet-auction-donate-bitcoin-charity-2021-3,0.0,0.0,1.0,0.0,0
2021-03-09,"Non-fungible tokens or NFTs products that operate as digital assets have grown to encompass a $250 million market, according to a 2020 report from tech-tracking company L'Atelier BNP Paribas and nonf… [+7698 chars]",Business Insider,https://www.businessinsider.com/nft-marketplaces-where-to-buy-sell-non-fungible-tokens-online-2021-3,0.1779,0.054,0.946,0.0,1
2021-03-10,"R.Tsubin/Getty Images
Bitcoin climbed for the fourth straight day on Wednesday, flirting with the record high set in February amid continued support from major institutions.
As of 9:10 AM ET, bitco… [+885 chars]",Business Insider,https://www.businessinsider.com/bitcoin-price-today-climbs-back-above-55000-as-rally-extends-2021-3,0.6597,0.176,0.824,0.0,1
2021-03-10,"Global capital market exchange Deutsche Börse has added more crypto investing options just a week after Goldman Sachs
 announced the reopening of its crypto trading services to meet surging institut… [+2830 chars]",Business Insider,https://www.businessinsider.com/goldman-sachs-deutsche-boerse-latest-to-set-up-crypto-desks-2021-3,0.0,0.0,1.0,0.0,0
2021-03-10,US stocks gained on Wednesday with the Dow hitting a record high following a House vote to approve the $1.9 trillion coronavirus relief stimulus bill. Wednesday's vote puts President Biden on track t… [+2164 chars],Business Insider,https://www.businessinsider.com/stock-market-news-today-dow-record-stimulus-biden-house-bill-2021-3,0.6908,0.155,0.845,0.0,1
2021-03-11,"Zakaria Zainal/Anadolu Agency via Getty Images
Hedge funds based in Singapore are training interns as young as 16 to work as portfolio managers for wealthy people moving to the city, according to Bl… [+2324 chars]",Business Insider,https://www.businessinsider.com/hedge-funds-singapore-training-16-year-olds-manage-billionaire-wealth-2021-3,0.3612,0.068,0.932,0.0,1
2021-03-11,"US equities climbed on Thursday as tech stocks soared higher and investors looked to new stimulus to accelerate the economic recovery.
The Dow Jones industrial average hovered around record highs af… [+2775 chars]",Business Insider,https://www.businessinsider.com/stock-market-news-indexes-tech-jobless-claims-stimulus-treasury-yields-2021-3,0.0,0.0,1.0,0.0,0
2021-03-11,"Peter Schiff.
Reuters/ Rick Wilking
Spencer Schiff, the son of bitcoin detractor Peter Schiff, has decided to move 100% of his portfolio investments into the world's most popular cryptocurrency.
""… [+1655 chars]",Business Insider,https://www.businessinsider.com/bitcoin-critic-peter-schiff-son-100-portfolio-cryptocurrency-investment-2021-3,0.4754,0.091,0.909,0.0,1
2021-03-11,"Getty Images
<ul><li>US stocks surged on Thursday as President Biden signed a $1.9 trillion relief package and investors doubled down on a swift recovery.</li><li>The Dow Jones industrial average an… [+3576 chars]",Business Insider,https://www.businessinsider.com/stock-market-news-indexes-biden-stimulus-tech-rally-treasury-yields-2021-3,0.5994,0.154,0.846,0.0,1
2021-03-12,"Personal Finance Insider writes about products, strategies, and tips to help you make smart decisions with your money. We may receive a small commission from our partners, like American Express, but … [+7161 chars]",Business Insider,https://www.businessinsider.com/personal-finance/blockfi-bitcoin-credit-card-waitlist-open-should-you-apply-2021-3,0.5346,0.158,0.842,0.0,1
2021-03-13,"Trading cards have been around for decades. But now, the industry is undergoing a resale renaissance.
Across the board, sales for sports and gaming cards exploded in 2020. eBay sold more than 4 mill… [+5064 chars]",Business Insider,https://www.businessinsider.com/trading-cards-exploded-during-pandemic-thanks-to-resellers-collectors-2021-3,0.0,0.0,1.0,0.0,0
2021-03-13,"The market for digital collectibles is booming but that doesn't mean they're a safe investment. 
A digital artist known as Beeple sold a piece for an eye-watering $69 million through Christie's on T… [+6391 chars]",Business Insider,https://www.businessinsider.com/what-are-risks-of-investing-in-nft-2021-3,-0.4782,0.0,0.909,0.091,-1
2021-03-13,"Bitcoin surged as high as $60,000 for the first time on Saturday, lifting its price increase over the past year to more than 1,000%.
The cryptocurrency, which boasts a market capitalization of more … [+1962 chars]",Business Insider,https://www.businessinsider.com/bitcoin-price-surges-record-60000-stimulus-hopes-institutional-support-2021-3,0.3182,0.065,0.935,0.0,1
2021-03-13,"Yet another billionaire has jumped on the bitcoin bandwagon. This time, it's Norwegian tycoon Kjell Inge Rokke. 
Rokke is the chairman of the $6 billion industrial conglomerate Aker ASA, which has o… [+6381 chars]",Business Insider,https://www.businessinsider.com/bitcoin-investing-strategy-norwegian-billionaire-kjell-inge-rokke-crypto-defi-2021-3,0.0,0.0,1.0,0.0,0
2021-03-14,"Tesla is known to quietly raise and lower is prices whenever it sees fit.
In October, Tesla CEO Elon Musk dropped the price of the Model S sedan to $69,420 after rival Lucid announced its sedan woul… [+4923 chars]",Business Insider,https://www.businessinsider.com/tesla-cost-breakdown-buying-guide-2021-3,0.0772,0.061,0.885,0.054,1
2021-03-15,"The US-based crypto firm raised a whopping $350 million at a $3 billion valuation, following a $50 million raise last August at a $450 million valuation, per
 TechCrunch. BlockFi
 offers retail use… [+2927 chars]",Business Insider,https://www.businessinsider.com/crypto-unicorn-blockfi-records-350-million-dollar-raise-2021-3,0.0,0.0,1.0,0.0,0
2021-03-15,"So far, small-cap stocks appear to be the biggest winners in the midst of the historic economic rebound.
The Russell 2000 had more than tripled the S&amp;P 500 index's 6.6% rise to gain 20.9% year-t… [+6599 chars]",Business Insider,https://www.businessinsider.com/small-cap-growth-stock-picks-to-surge-as-economy-reopens-2021-3,0.7579,0.157,0.843,0.0,1
2021-03-16,"Bridgewater Associates boss Ray Dalio does not like what he sees when he looks out across the market.
In a major blog post on Monday, he said there are ""classic bubble dynamics in so many different … [+4129 chars]",Business Insider,https://www.businessinsider.com/ray-dalio-quotes-bubble-dynamics-markets-bond-yields-stocks-stimulus-2021-3,-0.0026,0.054,0.893,0.054,0
2021-03-16,"Photo illustration of visual representations of digital cryptocurrencies
Yuriko Nakao/Getty Images
<ul><li>Inflows to cryptocurrency investment products a new peak of $4.2 billion for the first qua… [+2258 chars]",Business Insider,https://www.businessinsider.com/cryptocurrencies-bitcoin-ethereum-inflows-record-high-q1-coinshares-btc-eth-2021-3,0.0,0.0,1.0,0.0,0
2021-03-16,"The bottom line: Quontic pays high interest rates overall, but be sure you're eligible to earn the best rates on its high-yield interest checking and 
 money market accounts.
RelatedThe best online… [+5189 chars]",Business Insider,https://www.businessinsider.com/personal-finance/quontic-bank-review,0.9704,0.423,0.577,0.0,1
2021-03-16,"Ripple Labs, whose digital asset XRP is valued at over $20 billion, is demanding in court that the Securities and Exchange Commission turn over internal records explaining its decision to clamp down … [+2460 chars]",Business Insider,https://www.businessinsider.com/ripple-seeks-internal-sec-records-xrp-legality-securities-bitcoin-ether-2021-3,0.6908,0.192,0.759,0.048,1
2021-03-16,"A former Goldman Sachs executive is the mystery buyer of Jeffrey Epstein's palatial Manhattan home one of the largest private properties in the city, Insider has learned.
Michael Daffey purchased th… [+4662 chars]",Business Insider,https://www.businessinsider.com/former-goldman-exec-michael-daffey-buying-epstein-nyc-mansion-bitcoin-2021-3,0.0,0.0,1.0,0.0,0
2021-03-17,"Bank of America says there's no other reason for investors to own bitcoin in their portfolios other than hoping the price will rise. 
A team led by commodity strategist Francisco Blanch said in a re… [+1635 chars]",Business Insider,https://www.businessinsider.com/bitcoin-price-today-inflation-hedge-portfolio-bank-of-america-price-2021-3,0.1531,0.074,0.868,0.058,1
2021-03-18,"Fed chair Jerome Powell said the central bank was not thinking of cutting back on economic support
Mark Wilson/Getty Images
US tech stock futures slid on Thursday, as bond yields shot up after the … [+2880 chars]",Business Insider,https://www.businessinsider.com/stock-market-today-us-tech-futures-bond-yields-federal-reserve-inflation-2021-3,0.4714,0.107,0.893,0.0,1
